ID,Text,Translate
TX_SYS_BA0_000000_0000(0),"Well met, traveler. What can I do ye for?",
TX_SYS_BA0_000000_0010(0),"I see... Well, your unfortunate reputation 
precedes you, my friend.",
TX_SYS_BA0_000000_0020(0),"I can help you get back into the townspeople's 
favor, but it won't be cheap.",
TX_SYS_BA0_000000_0030(0),"I'm afraid it's going to cost you more than that. 
Come back once you can pay the price.",
TX_SYS_BA0_000000_0040(0),Very well. I'll see what I can do.,
TX_SYS_BA0_000000_0050(0),I expect you to be on your best behavior now.,
TX_SYS_BA0_000000_0060(0),"Well met, traveler. What can I do ye for?",
TX_SYS_BA0_000000_0070(0),"I see... Well, your unfortunate reputation 
precedes you, my friend.",
TX_SYS_BA0_000000_0080(0),"I can help you get back into the townspeople's 
favor, but it won't be cheap.",
TX_SYS_BA0_000000_0090(0),"I'm afraid it's going to cost you more than that. 
Come back once you can pay the price.",
TX_SYS_BA0_000000_0100(0),Very well. I'll see what I can do.,
TX_SYS_BA0_000000_0110(0),I expect you to be on your best behavior now.,
TX_SS_EX4_0137A0_0000(0),So I'll find Father on the other side? Truly?,
TX_SS_EX4_0137A0_0010(0),"Trust me, Kit. He is there. Waiting for you.",
TX_SS_EX4_0137A0_0020(0),"I see. Very well, then...",
TX_SS_EX4_0137A0_0030(0),......,
TX_SS_EX4_0137A0_0040(0),Is something the matter?,
TX_SS_EX4_0137A0_0050(0),Pray forgive me. I'm not feeling so well.,
TX_SS_EX4_0137A0_0060(0),Why don't you go on ahead? I'll catch up soon.,
TX_SS_EX4_0137A0_0070(0),I'll be waiting for you.,
TX_SS_EX4_0137A0_0080(0),"Oh, here's a familiar face. Fancy meeting you 
here.",
TX_SS_EX4_0137A0_0090(0),"I trust you came for Kit, yes?",
TX_SS_EX4_0137A0_0100(0),"Apologies, but the lad is quite special to me. 
My...soul mate, if you will.",
TX_SS_EX4_0137A0_0110(0),I'll thank you not to interfere.,
TX_SS_EX4_0137A0_0120(0),"...That's assuming you <span style=""italic"">could</> interfere, even if 
you wanted to.",
TX_SS_EX4_0137A0_0130(0),"Pass beyond the Gate of Finis, and never again 
may you return to this world.",
TX_SS_EX4_0137A0_0140(0),"Follow us if you so choose. But first, be certain 
that is truly the path you wish to tread.",
TX_SS_EX4_0137A0_0150(0),Farewell.,
TX_SS_EX4_013700_0000(0),"Once things settle down, I suppose I'll move on 
to greener pastures.",
TX_SS_EX4_013700_0010(0),"Not sure where that might be, but there's a 
whole world out there, after all.",
TX_SS_EX4_013700_0020(0),"So long as I can remain by the side of my 
beloved, I want for nothing more.",
