ID,Text,Translate
PC_eOPTMENU_TRUE(0),Enable,
PC_eOPTMENU_FALSE(0),Disable,
PC_eOPTMENU_GAME_CONFIG(0),Game Options,
PC_eOPTMENU_GRAPH_CONFIG(0),Graphics Options,
PC_eOPTMENU_TEXT_LANG(0),Text Language,
PC_eOPTMENU_TEXT_IT(0),Italian,
PC_eOPTMENU_TEXT_FR(0),French,
PC_eOPTMENU_TEXT_DE(0),German,
PC_eOPTMENU_TEXT_ES(0),Spanish,
PC_eOPTMENU_TEXT_CN_SIMPLE(0),Simplified Chinese,
PC_eOPTMENU_TEXT_CN_TRADITION(0),Traditional Chinese,
PC_eOPTMENU_DISPLAY_RESOLUTION(0),Display Resolution,
PC_eOPTMENU_DISPLAY_SIZE(0),Display Size,
PC_eOPTMENU_DRAW_RESOLUTION(0),Rendering Resolution,
PC_eOPTMENU_GRAPHIC_QUALITY(0),Graphics Quality,
PC_eOPTMENU_LOW(0),Low,
PC_eOPTMENU_HIGH(0),High,
PC_eOPTMENU_LOW_RESOLUTION(0),Low Resolution,
PC_eOPTMENU_HIGH_RESOLUTION(0),High Resolution,
PC_eOPTMENU_DRAW_QUALITY(0),Rendering Quality,
PC_eOPTMENU_DRAW_CONFIG(0),Rendering Options,
PC_eOPTMENU_ANTI_ALIASING(0),Anti-Aliasing,
PC_eOPTMENU_POST_PROCESS(0),Post-Processing,
PC_eOPTMENU_SHADOW(0),Shadows,
PC_eOPTMENU_TEXTURE(0),Textures,
PC_eOPTMENU_EFFECT(0),Effects,
PC_eOPTMENU_MIDDLE(0),Medium,
PC_eOPTMENU_BEST(0),Highest,
PC_eOPTMENU_AUTO_CONFIG_EXE(0),Auto,
PC_eOPTMENU_AUTO_CONFIG(0),Auto,
PC_eOPTMENU_DISPLAY_MODE(0),Display Mode,
PC_eOPTMENU_WINDOW(0),Windowed,
PC_eOPTMENU_BORDERLESS_WINDOW(0),Borderless Window,
PC_eOPTMENU_FULL_SCREEN(0),Full Screen,
